gene_symbol$transcript_id$relative_likelihood$best_order$number_of_orders_have_same_prob$percent_coverage_order_pair$disorder_p_value$spearman_rho$spearman_rho_abs$spearman_p_value
dsc4$SPAC4D7.11.1$-0.792445401542226$2,1$1$1$-3.25456068321926$-1$1$1
atg13$SPAC4F10.07c.1$0$1,2$1$1$-7.68895467599084$1$1$1
nup37$SPAC4F10.18.1$0$1,2$1$1$-13.0739675627381$1$1$1
grx1$SPAC4F10.20.1$-1.56157533508277$3,1,2$1$1$-16.0455266496177$-0.5$0.5$1
did4$SPAC4F8.01.1$0$1,2$1$1$-9.16543007141162$1$1$1
hcs1$SPAC4F8.14c.1$-2.31090617174071$2,1$1$1$-163.631868008322$-1$1$1
sss1$SPAC4G8.02c.1$-3.33729357968268$2,1$1$1$-35.8197153507846$-1$1$1
atp10$SPAC4G8.11c.1$0$1,2$1$1$-1.30606938532732$1$1$1
chz1$SPAC4G9.06c.1$0$1,2$1$1$-2.04861888161114$1$1$1
ifa38$SPAC4G9.15.1$-2.47730205040278$2,1$1$1$-7.64391300972789$-1$1$1
SPAC4H3.04c$SPAC4H3.04c.1$-3.71357206670431$2,1$1$1$-3.87792102055748$-1$1$1
SPAC4H3.06$SPAC4H3.06.1$-6.19644412779452$1,3,2$1$1$-57.3499021586099$0.5$0.5$1
rdl2$SPAC4H3.07c.1$-1.74149763444717$2,1,3$1$1$-8.7383868569293$0.5$0.5$1
SPAC4H3.09$SPAC4H3.09.1$0$1,2$1$1$-2.31050555521822$1$1$1
SPAC4H3.16$SPAC4H3.16.1$-4.70953020131233$2,1$1$1$-9.16543007141162$-1$1$1
spc3$SPAC56F8.11.1$-2.68350909218609$2,1$1$1$-9.64208595688509$-1$1$1
cyp1$SPAC57A10.03.1$-6.27301281046348$1,3,5,4,2$1$1$-32.5985535595422$0.3$0.3$0.683333333333333
SPAC57A10.08c$SPAC57A10.08c.1$-1.31567679390594$2,1$1$1$-1.79889198329438$-1$1$1
nhp6$SPAC57A10.09c.1$0$1,2$1$1$-8.95271223778177$1$1$1
SPAC589.05c$SPAC589.05c.1$0$1,2$1$1$-2.26165178572302$1$1$1
SPAC5D6.04$SPAC5D6.04.1$-0.676886659688165$1,3,2$1$1$-6.72481230320891$0.5$0.5$1
med18$SPAC5D6.05.1$-5.02924886061025$3,1,2$1$1$-3.67335951277838$-0.5$0.5$1
SPAC630.06c$SPAC630.06c.1$-3.93182563272433$2,3,1$1$1$-1.58868374269892$-0.5$0.5$1
